Hour,AVG_base$netload_baseline,AVG_netload_proposed,AVG_ACC_rate,*
6,5.506333333,-18.13833333,0.052168704,June
7,5.397666667,-15.696,0.046092498,June
8,19.69366667,-1.317333333,0.043701281,June
9,48.12166667,45.19066667,0.04458159,June
10,28.10366667,48.18666667,0.044542535,June
11,10.71166667,-14.41,0.044339547,June
12,-10.77433333,-78.741,0.043725473,June
13,-5.474,-80.76166667,0.043588987,June
14,-3.615,-76.43833333,0.079135711,June
15,-1.828666667,-70.52933333,0.085492058,June
16,5.839,-39.84733333,0.126801833,June
17,21.07533333,-19.762,0.147608708,June
18,41.712,-2.903333333,0.204852157,June
19,45.11466667,-6.629333333,0.177366105,June
20,24.542,-58.122,0.136423754,June
21,39.49933333,1.935,0.085520911,June
22,39.58033333,33.96333333,0.071171188,June
23,27.396,22.36566667,0.061379522,June
24,26.69533333,23.12,0.053582022,June
1,22.68096774,20.93064516,0.051556549,July
2,21.14548387,19.09419355,0.051050438,July
3,19.0683871,17.87096774,0.050815011,July
4,18.48354839,17.27548387,0.050547373,July
5,18.33741935,14.11870968,0.050979439,July
6,6.516774194,-30.08,0.05269575,July
7,8.737741935,-11.77903226,0.049194624,July
8,8.323548387,-23.39935484,0.049705322,July
9,55.49419355,54.42290323,0.052786592,July
10,47.75677419,66.26290323,0.052765088,July
11,5.53483871,-1.131935484,0.051927714,July
12,-7.340322581,-86.46645161,0.051462985,July
13,-4.782903226,-88.60709677,0.051719352,July
14,-8.154516129,-86.33258065,0.053398124,July
15,-5.808387097,-72.87709677,0.087626408,July
16,13.59290323,-44.93225806,0.098935075,July
17,12.81451613,-32.22677419,0.256883852,July
18,35.40967742,1.216451613,0.266912582,July
19,44.75451613,-7.421935484,0.400785268,July
20,43.54387097,-29.83387097,0.209340504,July
21,32.18677419,0.799354839,0.089384419,July
22,44.4616129,37.66580645,0.073273628,July
23,35.89935484,30.62645161,0.060038228,July
24,28.24516129,19.7383871,0.056519795,July
1,23.34419355,21.77,0.054760377,August
2,24.42290323,20.27064516,0.053601413,August
3,18.98967742,17.86774194,0.053710611,August
4,18.37774194,17.39322581,0.053267021,August
5,18.83,17.64483871,0.053308013,August
6,19.38354839,10.97774194,0.052785167,August
7,10.53612903,-3.11516129,0.053843589,August
8,11.80516129,-24.04322581,0.056795314,August
9,43.63,43.30967742,0.06047488,August
10,66.35516129,60.63419355,0.06008175,August
11,19.4216129,31.64580645,0.058738443,August
12,1.240967742,-64.35225806,0.057787572,August
13,-2.123225806,-70.62354839,0.05782127,August
14,-6.769032258,-77.55451613,0.060737164,August
15,-0.369677419,-60.77419355,0.099770423,August
16,16.58,-32.77806452,0.115065815,August
17,24.63677419,-12.61483871,0.352029918,August
18,21.75870968,-12.07967742,0.598152357,August
19,18.43774194,-75.67806452,1.171772332,August
20,61.81870968,19.30225806,0.482713358,August
21,33.61096774,-13.8583871,0.501136081,August
22,40.69580645,37.90258065,0.355145601,August
23,38.1116129,35.27580645,0.061150762,August
24,26.46967742,24.26580645,0.057205458,August
1,21.36833333,16.805,0.051685449,September
2,23.08366667,19.76633333,0.050770688,September
3,19.34333333,17.879,0.050331377,September
4,18.369,17.333,0.049489945,September
5,15.90466667,13.98266667,0.049316737,September
